function_name,installation_time,dependency_size_in_mb,function_execution_time
func1,3.950338125228882,121.0,0.0844957828521728
func2,5.114376068115234,121.0,10.080763816833496
func1,4.014814853668213,121.0,0.0804989337921142
func2,3.70490288734436,121.0,10.082921981811523
func1,2.2094860076904297,121.0,0.0815520286560058
func2,2.0865797996521,121.0,10.08491587638855
func3,1.2404000759124756,14.0,0.0008528232574462
func3,0.6120481491088867,14.0,0.0009129047393798
func3,0.6151261329650879,14.0,0.0004239082336425
func3,0.6179568767547607,14.0,0.0003600120544433
func1,1.4886720180511477,121.0,0.0845770835876464
func2,1.329286813735962,121.0,10.086220026016235
func3,0.6194641590118408,14.0,0.0005052089691162
func1,1.4835708141326904,121.0,0.0858011245727539
func2,1.3247931003570557,121.0,10.08438491821289
func3,0.6355938911437988,14.0,0.0005469322204589844
